iter	Passed	Remaining
913	4269	401
914	4274	397
915	4278	392
916	4282	387
917	4286	382
918	4290	378
919	4294	373
920	4297	368
921	4301	363
922	4305	359
923	4308	354
924	4312	349
925	4316	344
926	4319	340
927	4323	335
928	4327	330
929	4331	326
930	4335	321
931	4339	316
932	4344	311
933	4348	307
934	4352	302
935	4356	297
936	4361	293
937	4365	288
938	4369	283
939	4374	279
940	4378	274
941	4382	269
942	4387	265
943	4391	260
944	4395	255
945	4399	251
946	4403	246
947	4406	241
948	4410	237
949	4414	232
950	4417	227
951	4421	222
952	4426	218
953	4430	213
954	4434	208
955	4439	204
956	4443	199
957	4447	195
958	4453	190
959	4457	185
960	4462	181
961	4467	176
962	4471	171
963	4476	167
964	4481	162
965	4485	157
966	4490	153
967	4495	148
968	4499	143
969	4504	139
970	4509	134
971	4514	130
972	4520	125
973	4526	120
974	4532	116
975	4537	111
976	4543	106
977	4548	102
978	4554	97
979	4560	93
980	4566	88
981	4574	83
982	4582	79
983	4590	74
984	4598	70
985	4604	65
986	4611	60
987	4617	56
988	4623	51
989	4629	46
990	4635	42
991	4640	37
992	4645	32
993	4649	28
994	4653	23
995	4658	18
996	4662	14
997	4666	9
998	4669	4
999	4673	0
